row,column,coefficient,observation,variance
1,1,27.93296089,0.662095516,0.0001
2,1,35.61253561,-0.76614684,0.0001
2435,1,127.090993,0.013701086,0.0001
3999,1,1,0.16781094,0.0001
3,2,2.141648641,0.774543291,0.0001
4,2,-7.369196758,0.402837166,0.0001
4000,2,1,0.120129914,0.0001
5,3,-49.70178926,0.04433633,0.0001
1790,3,-8.634087377,0.032635291,0.0001
2436,3,84.77691313,-0.155588571,0.0001
2448,3,-49.70178926,-0.824405473,0.0001
2476,3,-26.44103649,-0.794252703,0.0001
4001,3,1,0.591650452,0.0001
1790,4,8.634087377,-0.163082505,0.0001
2436,4,-8.634087377,-0.201034397,0.0001
2715,4,-33.33333333,-0.157440414,0.0001
4002,4,1,-0.128506747,0.0001
6,5,-12.18026797,0.273314373,0.0001
7,5,-23.91772303,0.362461596,0.0001
1791,5,-6.799483239,0.911663979,0.0001
2437,5,83.15512319,1.006941852,0.0001
2438,5,-6.799483239,-0.395313954,0.0001
2450,5,-12.18026797,0.39535073,0.0001
2485,5,-23.91772303,-0.677106864,0.0001
4003,5,1,0.528958026,0.0001
1791,6,6.799483239,1.029871767,0.0001
2437,6,-6.799483239,0.287812935,0.0001
2438,6,6.799483239,2.88E-01,0.0001
4004,6,1,-0.904805051,0.0001
3,7,-2.141648641,-0.10830729,0.0001
8,7,-3.645111905,0.903472403,0.0001
4005,7,1,-0.469560338,0.0001
9,8,27.56339581,0.165151214,0.0001
1792,8,-10.55854714,1.002886562,0.0001
2439,8,47.21119945,2.356994153,0.0001
2440,8,-10.55854714,0.097079299,0.0001
4006,8,1,-0.382896941,0.0001
1792,9,10.55854714,-0.765581251,0.0001
2439,9,-10.55854714,-0.600869869,0.0001
2440,9,10.55854714,0.618019329,0.0001
4007,9,1,0.500714753,0.0001
4,10,7.369196758,0.647441796,0.0001
10,10,2.70343336,0.769984658,0.0001
2441,10,-3.080714726,0.658970965,0.0001
2454,10,-2.70343336,-0.110744431,0.0001
4008,10,1,0.039214116,0.0001
2441,11,3.080714726,-0.891683132,0.0001
4009,11,1,0.868688287,0.0001
11,12,4.885436514,0.801711803,0.0001
12,12,-4.003683389,0.801706343,0.0001
2442,12,8.889119902,0.187776259,0.0001
2498,12,-4.885436514,0.465505172,0.0001
2652,12,-4.003683389,0.501322043,0.0001
4010,12,1,-3.836373985,0.0001
13,13,-16.34788295,1.041712424,0.0001
14,13,-5.178395733,0.539375478,0.0001
2443,13,25.21931362,0.23385569,0.0001
2469,13,-16.34788295,-0.091672241,0.0001
2497,13,-5.178395733,-0.199812843,0.0001
4011,13,1,0.391174022,0.0001
15,14,5.466571913,0.658816232,0.0001
2444,14,12.22606901,-0.175088036,0.0001
2469,14,-6.759497093,7.205914436,0.0001
4012,14,1,5.210154775,0.0001
4013,15,1,1.590503822,0.0001
16,16,9.110787172,-0.767074725,0.0001
17,16,-6.314327208,-0.086555045,0.0001
2456,16,-9.110787172,-0.167071202,0.0001
4014,16,1,-1.06076003,0.0001
18,17,-12.67909218,-0.075630051,0.0001
19,17,7.048209755,-0.745251273,0.0001
20,17,-6.41025641,-0.160899584,0.0001
2445,17,55.9704939,-0.400963579,0.0001
2446,17,-12.67909218,-2.691310532,0.0001
2453,17,-7.048209755,-0.724413644,0.0001
2459,17,-29.83293556,-0.303161899,0.0001
2469,17,-6.41025641,-1.180902401,0.0001
4015,17,1,0.122936111,0.0001
18,18,12.67909218,0.170029395,0.0001
2445,18,-12.67909218,0.22659553,0.0001
2446,18,27.89516034,0.466081004,0.0001
2449,18,-15.21606817,-0.303187638,0.0001
4016,18,1,-1.6894918,0.0001
21,19,26.88172043,2.169073742,0.0001
22,19,35.71428571,6.539364515,0.0001
23,19,-35.71428571,0.12418519,0.0001
24,19,6.25,-0.358102638,0.0001
